room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13511118,19670287,Entire home/apt,,24,1,0.0,5,3.0,127.0,,56.147431,10.208398,2017-03-30 22:19:26.401723
3424097,17259442,Entire home/apt,,13,4,5.0,8,4.0,134.0,,56.234735,10.195255,2017-03-30 22:19:23.620699
5353081,12490070,Entire home/apt,,4,0,0.0,6,4.0,127.0,,56.217361,10.190883,2017-03-30 22:19:23.613602
1912361,5005214,Entire home/apt,,5,9,4.5,5,3.0,132.0,,56.195489,10.212924,2017-03-30 22:19:23.606193
10322945,28443315,Entire home/apt,,24,8,4.5,6,3.0,134.0,,56.145667,10.19802,2017-03-30 22:19:23.600622
6413439,2091524,Entire home/apt,,2,4,4.5,9,5.0,144.0,,56.121739,10.17595,2017-03-30 22:19:23.598391
3482793,17540944,Entire home/apt,,2,4,5.0,6,4.0,142.0,,56.13266,10.187681,2017-03-30 22:19:23.595732
11483548,41932384,Entire home/apt,,24,3,5.0,4,2.0,127.0,,56.169802,10.21969,2017-03-30 22:19:23.590569
10357088,53305338,Entire home/apt,,24,2,0.0,4,2.0,142.0,,56.167161,10.219963,2017-03-30 22:19:23.587297
10039394,9803079,Entire home/apt,,24,1,0.0,6,3.0,127.0,,56.160423,10.203146,2017-03-30 22:19:23.584920
10747286,1616970,Entire home/apt,,24,2,0.0,2,1.0,127.0,,56.154854,10.198033,2017-03-30 22:19:23.581572
12661291,68789315,Entire home/apt,,24,0,0.0,4,1.0,142.0,,56.174057,10.216878,2017-03-30 22:19:23.575734
17837447,4510607,Entire home/apt,,11,0,0.0,4,1.0,139.0,,56.200012,10.157511,2017-03-30 22:19:23.572904
14329000,20072317,Entire home/apt,,24,0,0.0,4,2.0,134.0,,56.157709,10.209109,2017-03-30 22:19:23.568259
7195067,37678087,Entire home/apt,,4,6,5.0,6,3.0,142.0,,56.17774,10.196895,2017-03-30 22:19:23.565070
11779685,17877489,Entire home/apt,,24,5,4.0,7,4.0,134.0,,56.160943,10.208678,2017-03-30 22:19:23.561904
17171969,115520456,Entire home/apt,,24,0,0.0,8,3.0,127.0,,56.164474,10.199675,2017-03-30 22:19:23.559073
13654666,79309912,Entire home/apt,,5,0,0.0,6,3.0,142.0,,56.191848,10.240044,2017-03-30 22:19:23.556071
17696943,13436029,Entire home/apt,,24,0,0.0,4,1.0,127.0,,56.164709,10.217478,2017-03-30 22:19:23.552904
13838120,81640670,Entire home/apt,,4,3,5.0,6,3.0,142.0,,56.179142,10.17703,2017-03-30 22:19:22.489138
12040829,41190679,Entire home/apt,,1,3,4.5,7,4.0,132.0,,56.120177,10.197568,2017-03-30 22:19:22.486787
15725096,1419899,Entire home/apt,,24,3,4.5,6,3.0,139.0,,56.164967,10.195811,2017-03-30 22:19:22.484186
5881690,14856877,Entire home/apt,,6,4,4.5,6,2.0,127.0,,56.150614,10.164871,2017-03-30 22:19:22.479652
6666654,16767981,Entire home/apt,,24,2,0.0,6,3.0,127.0,,56.149107,10.196779,2017-03-30 22:19:22.477102
15753788,95325998,Entire home/apt,,10,0,0.0,10,4.0,127.0,,56.159834,10.114754,2017-03-30 22:19:22.474690
8011673,42300824,Entire home/apt,,2,0,0.0,4,3.0,142.0,,56.132953,10.186948,2017-03-30 22:19:22.471686
16973003,87679837,Entire home/apt,,24,5,5.0,4,1.0,134.0,,56.157052,10.210787,2017-03-30 22:19:22.468031
13936869,77946591,Entire home/apt,,24,0,0.0,6,3.0,134.0,,56.163586,10.198081,2017-03-30 22:19:22.465706
13170596,45383346,Entire home/apt,,3,0,0.0,6,4.0,127.0,,56.16272,10.163925,2017-03-30 22:19:22.462827
7876855,41025466,Entire home/apt,,3,0,0.0,6,5.0,133.0,,56.163309,10.153876,2017-03-30 22:19:22.459692
16882097,112280188,Entire home/apt,,24,0,0.0,8,5.0,134.0,,56.163422,10.216488,2017-03-30 22:19:22.456963
7315368,38325113,Entire home/apt,,24,2,0.0,6,2.0,134.0,,56.155588,10.204258,2017-03-30 22:19:22.452949
13837506,7298111,Entire home/apt,,24,2,0.0,8,5.0,125.0,,56.16891,10.217796,2017-03-30 22:19:22.446485
13706873,78679286,Entire home/apt,,24,0,0.0,4,1.0,134.0,,56.146141,10.201001,2017-03-30 22:19:22.443910
13245871,60995741,Entire home/apt,,6,0,0.0,6,4.0,133.0,,56.159492,10.16834,2017-03-30 22:19:22.441208
14113070,85035726,Entire home/apt,,4,7,4.5,5,2.0,132.0,,56.170424,10.190358,2017-03-30 22:19:22.434112
13151391,17590692,Entire home/apt,,24,0,0.0,3,1.0,142.0,,56.15647,10.206876,2017-03-30 22:19:22.430149
16807762,51734739,Entire home/apt,,24,4,4.5,4,3.0,142.0,,56.165602,10.229377,2017-03-30 22:19:21.253482
14410788,61785580,Entire home/apt,,24,0,0.0,6,2.0,134.0,,56.164953,10.190019,2017-03-30 22:19:21.250419
10329278,37814318,Entire home/apt,,24,2,0.0,8,4.0,142.0,,56.159333,10.214073,2017-03-30 22:19:21.247367
17188406,30167668,Entire home/apt,,1,0,0.0,5,3.0,134.0,,56.123402,10.191858,2017-03-30 22:19:21.243646
8330340,9363582,Entire home/apt,,24,0,0.0,4,2.0,138.0,,56.161266,10.205686,2017-03-30 22:19:21.238607
14662988,8675231,Entire home/apt,,24,1,0.0,2,1.0,133.0,,56.15903,10.213344,2017-03-30 22:19:21.235322
17789264,13911862,Entire home/apt,,24,0,0.0,4,2.0,134.0,,56.171937,10.221131,2017-03-30 22:19:21.232913
13580615,78383203,Entire home/apt,,24,0,0.0,3,1.0,134.0,,56.168669,10.219733,2017-03-30 22:19:21.230122
